Date,You­Tube Premi­um views
2022-01-01,1
2022-01-02,8
2022-01-03,5
2022-01-04,8
2022-01-05,3
2022-01-06,3
2022-01-07,0
2022-01-08,9
2022-01-09,11
2022-01-10,15
2022-01-11,171
2022-01-12,15
2022-01-13,6
2022-01-14,7
2022-01-15,8
2022-01-16,10
2022-01-17,2
2022-01-18,18
2022-01-19,152
2022-01-20,128
2022-01-21,6
2022-01-22,12
2022-01-23,7
2022-01-24,12
2022-01-25,521
2022-01-26,18
2022-01-27,10
2022-01-28,5
2022-01-29,9
2022-01-30,11
2022-01-31,4
2022-02-01,13
2022-02-02,35
2022-02-03,4
2022-02-04,3
2022-02-05,2
2022-02-06,9
2022-02-07,4
2022-02-08,10
2022-02-09,9
2022-02-10,7
2022-02-11,1
2022-02-12,0
2022-02-13,88
2022-02-14,3
2022-02-15,71
2022-02-16,106
2022-02-17,6
2022-02-18,1
2022-02-19,114
2022-02-20,4
2022-02-21,6
2022-02-22,4
2022-02-23,11
2022-02-24,7
2022-02-25,2
2022-02-26,1
2022-02-27,11
2022-02-28,5
2022-03-01,4
2022-03-02,10
2022-03-03,9
2022-03-04,7
2022-03-05,0
2022-03-06,363
2022-03-07,8
2022-03-08,1
2022-03-09,11
2022-03-10,6
2022-03-11,4
2022-03-12,0
2022-03-13,10
2022-03-14,9
2022-03-15,12
2022-03-16,4
2022-03-17,0
2022-03-18,2
2022-03-19,4
2022-03-20,7
2022-03-21,5
2022-03-22,2
2022-03-23,10
2022-03-24,10
2022-03-25,6
2022-03-26,13
2022-03-27,14
2022-03-28,1
2022-03-29,12
2022-03-30,3
2022-03-31,4
2022-04-01,2
2022-04-02,2
2022-04-03,2
2022-04-04,3
2022-04-05,23
2022-04-06,16
2022-04-07,6
2022-04-08,3
2022-04-09,0
2022-04-10,5
2022-04-11,6
2022-04-12,14
2022-04-13,6
2022-04-14,0
2022-04-15,0
2022-04-16,1
2022-04-17,0
2022-04-18,5
2022-04-19,2
2022-04-20,0
2022-04-21,1
2022-04-22,4
2022-04-23,1
2022-04-24,9
2022-04-25,32
2022-04-26,13
2022-04-27,17
2022-04-28,143
2022-04-29,145
2022-04-30,9
2022-05-01,6
2022-05-02,15
2022-05-03,12
2022-05-04,6
2022-05-05,63
2022-05-06,53
2022-05-07,66
2022-05-08,6
2022-05-09,7
2022-05-10,54
2022-05-11,107
2022-05-12,5
2022-05-13,0
2022-05-14,2
2022-05-15,1
2022-05-16,10
2022-05-17,1
2022-05-18,4
2022-05-19,1
2022-05-20,0
2022-05-21,2
2022-05-22,15
2022-05-23,12
2022-05-24,3
2022-05-25,1
2022-05-26,1
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,2
2022-06-01,8
2022-06-02,2
2022-06-03,3
2022-06-04,10
2022-06-05,62
2022-06-06,7
2022-06-07,3
2022-06-08,0
2022-06-09,85
2022-06-10,224
2022-06-11,32
2022-06-12,7
2022-06-13,1
2022-06-14,7
2022-06-15,37
2022-06-16,5
2022-06-17,7
2022-06-18,1
2022-06-19,3
2022-06-20,2
2022-06-21,1
2022-06-22,19
2022-06-23,0
2022-06-24,10
2022-06-25,19
2022-06-26,9
2022-06-27,1
2022-06-28,1
2022-06-29,2
2022-06-30,0
2022-07-01,2
2022-07-02,2
2022-07-03,4
2022-07-04,0
2022-07-05,5
2022-07-06,4
2022-07-07,2
2022-07-08,0
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,3
2022-07-13,6
2022-07-14,2
2022-07-15,2
2022-07-16,0
2022-07-17,0
2022-07-18,1
2022-07-19,5
2022-07-20,1
2022-07-21,2
2022-07-22,3
2022-07-23,1
2022-07-24,1
2022-07-25,1
2022-07-26,1
2022-07-27,0
2022-07-28,1
2022-07-29,3
2022-07-30,1
2022-07-31,65
2022-08-01,31
2022-08-02,3
2022-08-03,8
2022-08-04,4
2022-08-05,3
2022-08-06,2
2022-08-07,1
2022-08-08,3
2022-08-09,112
2022-08-10,24
2022-08-11,8
2022-08-12,9
2022-08-13,3
2022-08-14,3
2022-08-15,2
2022-08-16,26
2022-08-17,11
2022-08-18,5
2022-08-19,9
2022-08-20,1
2022-08-21,2
2022-08-22,2
2022-08-23,1
2022-08-24,1
2022-08-25,0
2022-08-26,1
2022-08-27,1
2022-08-28,4
2022-08-29,3
2022-08-30,0
2022-08-31,0
2022-09-01,1
2022-09-02,3
2022-09-03,4
2022-09-04,3
2022-09-05,4
2022-09-06,0
2022-09-07,3
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,0
2022-09-13,2
2022-09-14,1
2022-09-15,2
2022-09-16,0
